id,name,description,image,price,category
1,Lightweight Rubber Gloves,Yuccie schlitz yolo authentic vinyl blog. Loko portland pinterest. Jean shorts try-hard portland authentic. Brunch flexitarian cornhole normcore sriracha put a bird on it.,https://robohash.org/1.png?size=500x500&set=set1,20.52,Music
2,Ergonomic Leather Coat,Artisan microdosing tofu taxidermy raw denim leggings authentic. Health art party humblebrag readymade keffiyeh kitsch cold-pressed biodiesel. Poutine lomo leggings pork belly. Cliche loko mlkshk neutra. Street austin sriracha hoodie pabst ugh letterpress.,https://robohash.org/2.png?size=500x500&set=set1,37.26,"Health, Beauty & Electronics"
3,Sleek Cotton Keyboard,Small batch hammock banh mi kickstarter. Try-hard chicharrones schlitz squid offal celiac neutra blue bottle. Bushwick kinfolk next level chartreuse listicle flexitarian whatever fanny pack. Craft beer distillery pitchfork.,https://robohash.org/3.png?size=500x500&set=set1,90.95,Health
4,Fantastic Leather Shoes,Fingerstache vinegar actually sartorial keytar brooklyn scenester. Biodiesel single-origin coffee pop-up tousled. Scenester paleo mustache banjo. Ethical carry quinoa asymmetrical forage shoreditch scenester crucifix. Gluten-free lo-fi forage keffiyeh authentic trust fund heirloom.,https://robohash.org/4.png?size=500x500&set=set1,1.27,"Automotive, Baby & Garden"
5,Sleek Silk Clock,Chartreuse vhs tousled before they sold out. Williamsburg kogi viral scenester ethical pour-over lumbersexual tattooed. Lo-fi tousled put a bird on it polaroid godard brunch cray. Everyday mlkshk health shabby chic.,https://robohash.org/5.png?size=500x500&set=set1,63.73,Home
6,Mediocre Leather Shirt,Messenger bag wolf cred brooklyn wayfarers. Keytar slow-carb chia brunch. Pbr&b blog wayfarers. Fashion axe helvetica normcore. Beard tote bag heirloom ramps vegan lo-fi waistcoat tofu.,https://robohash.org/6.png?size=500x500&set=set1,87.32,Clothing & Books
7,Incredible Concrete Pants,Fashion axe twee williamsburg chia godard. Keytar typewriter umami mumblecore skateboard.,https://robohash.org/7.png?size=500x500&set=set1,95.02,Movies
8,Sleek Marble Watch,Blue bottle ethical 3 wolf moon. Park taxidermy typewriter blog pbr&b xoxo.,https://robohash.org/8.png?size=500x500&set=set1,61.14,"Music, Movies & Books"
9,Lightweight Steel Coat,Chillwave plaid mumblecore ethical. Lumbersexual authentic pickled yuccie typewriter cleanse bushwick. Skateboard banh mi cred brooklyn vinegar kinfolk occupy. Biodiesel aesthetic kale chips selfies.,https://robohash.org/9.png?size=500x500&set=set1,89.62,"Garden, Industrial & Clothing"
10,Rustic Rubber Coat,Fingerstache readymade bushwick hashtag literally kombucha disrupt loko. Forage freegan cold-pressed. Tousled green juice pug crucifix. Yuccie flannel pbr&b freegan hoodie bitters chicharrones gastropub. Whatever pitchfork irony lomo wolf viral occupy salvia.,https://robohash.org/10.png?size=500x500&set=set1,47.74,Health & Computers
